,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib
188,-132.0,0.03461003303527832,-95.34807426032445,89.0,1709853069.970972,378.25,0.0,0.0
189,-133.0,0.03508472442626953,-94.77058903476582,97.0,1709853070.0060568,412.25,0.0,22.4
190,-132.0,0.03795456886291504,-86.9460541606729,97.0,1709853070.0440114,412.25,0.0,0.0
191,-131.0,0.0320584774017334,-102.15706625614482,90.0,1709853070.0760698,382.5,0.0,-19.599999999999998
192,-131.0,0.028195619583129883,-116.15279424324164,90.0,1709853070.1042655,382.5,0.0,0.0
193,-130.0,0.04293012619018555,-75.70441292443714,89.0,1709853070.1471956,378.25,0.0,-2.8
194,-129.0,0.03458714485168457,-93.24273552585322,90.0,1709853070.1817827,382.5,0.0,2.8
195,-130.0,0.0301513671875,-107.78947368421052,90.0,1709853070.211934,382.5,0.0,0.0
196,-131.0,0.03975057601928711,-82.38874320741816,98.0,1709853070.2516847,416.5,0.0,22.4
197,-132.0,0.03643298149108887,-90.57726996093213,90.0,1709853070.2881176,382.5,0.0,-22.4
198,-133.0,0.039203643798828125,-84.81354480879634,89.0,1709853070.3273213,378.25,0.0,-2.8
199,-132.0,0.032550811767578125,-101.37996015469355,98.0,1709853070.359872,416.5,0.0,25.2
200,-131.0,0.045298099517822266,-72.29883891070244,90.0,1709853070.4051702,382.5,0.0,-22.4
201,-132.0,0.017735004425048828,-186.0726910977872,90.0,1709853070.4229052,382.5,0.0,0.0
202,-132.0,0.027749061584472656,-118.92294050933086,90.0,1709853070.4506543,382.5,0.0,0.0
203,-132.0,0.03911018371582031,-84.3770007315289,97.0,1709853070.4897645,412.25,0.0,19.599999999999998
204,-134.0,0.041477203369140625,-80.76725834636255,89.0,1709853070.5312417,378.25,0.0,-22.4
205,-134.0,0.03219199180603027,-104.06314776001126,98.0,1709853070.5634336,416.5,0.0,25.2
206,-135.0,0.03821444511413574,-88.31738861888036,91.0,1709853070.601648,386.75,0.0,-19.599999999999998
207,-134.0,0.043099164962768555,-77.72772402653081,97.0,1709853070.6447473,412.25,0.0,16.799999999999997
208,-135.0,0.02566981315612793,-131.47738861489591,89.0,1709853070.670417,378.25,0.0,-22.4
209,-133.0,0.031105756759643555,-106.89339679765764,97.0,1709853070.7015228,412.25,0.0,22.4
210,-132.0,0.030528545379638672,-108.09555316058291,96.0,1709853070.7320514,408.0,0.0,-2.8
211,-130.0,0.035082101821899414,-92.63983145876516,90.0,1709853070.7671335,382.5,0.0,-16.799999999999997
212,-126.0,0.04700469970703125,-67.01457555591625,98.0,1709853070.8141382,416.5,0.0,22.4
213,-127.0,0.03656125068664551,-86.84057411525345,89.0,1709853070.8506994,378.25,0.0,-25.2
214,-126.0,0.037354230880737305,-84.32779703207277,90.0,1709853070.8880537,382.5,0.0,2.8
215,-126.0,0.03320741653442383,-94.85832770925174,89.0,1709853070.921261,378.25,0.0,-2.8
216,-127.0,0.03443431854248047,-92.20452543828067,89.0,1709853070.9556954,378.25,0.0,0.0
217,-125.0,0.0340578556060791,-91.75563007091404,89.0,1709853070.9897532,378.25,0.0,0.0
218,-126.0,0.04292464256286621,-73.38442004232417,89.0,1709853071.032678,378.25,0.0,0.0
219,-124.0,0.029317855834960938,-105.73760978465943,89.0,1709853071.0619957,378.25,0.0,0.0
220,-125.0,0.028858184814453125,-108.28816920026438,88.0,1709853071.090854,374.0,0.0,-2.8
221,-123.0,0.030192852020263672,-101.84529761998768,89.0,1709853071.1210468,378.25,0.0,2.8
222,-124.0,0.03488779067993164,-88.85630014351125,89.0,1709853071.1559346,378.25,0.0,0.0
223,-125.0,0.03980231285095215,-78.51302540388036,89.0,1709853071.195737,378.25,0.0,0.0
224,-126.0,0.03603529930114746,-87.41428713205374,89.0,1709853071.2317722,378.25,0.0,0.0
225,-125.0,0.0267636775970459,-116.76272771814173,90.0,1709853071.2585359,382.5,0.0,2.8
226,-125.0,0.0359807014465332,-86.852114449289,90.0,1709853071.2945166,382.5,0.0,0.0
227,-124.0,0.04862332344055176,-63.755411614143306,89.0,1709853071.34314,378.25,0.0,-2.8
228,-124.0,0.028370141983032227,-109.2698091484373,89.0,1709853071.37151,378.25,0.0,0.0
229,-123.0,0.042868614196777344,-71.7308002046673,90.0,1709853071.4143786,382.5,0.0,2.8
230,-123.0,0.025036334991455078,-122.82149128654414,98.0,1709853071.439415,416.5,0.0,22.4
231,-120.0,0.042145490646362305,-71.18199252139775,90.0,1709853071.4815605,382.5,0.0,-22.4
232,-121.0,0.0264437198638916,-114.39389070713081,90.0,1709853071.5080042,382.5,0.0,0.0
233,-123.0,0.02870321273803711,-107.13086468975828,90.0,1709853071.5367074,382.5,0.0,0.0
234,-122.0,0.03605055809020996,-84.60340592697428,89.0,1709853071.572758,378.25,0.0,-2.8
235,-122.0,0.04897570610046387,-62.27577390601648,89.0,1709853071.6217337,378.25,0.0,0.0
236,-122.0,0.033236026763916016,-91.76788855253153,89.0,1709853071.6549697,378.25,0.0,0.0
237,-119.0,0.031983375549316406,-93.01707367981632,90.0,1709853071.686953,382.5,0.0,2.8
238,-116.0,0.03402519226074219,-85.2309658613151,90.0,1709853071.7209783,382.5,0.0,0.0
239,-113.0,0.034612178802490234,-81.61867000978137,89.0,1709853071.7555904,378.25,0.0,-2.8
240,-112.0,0.042040109634399414,-66.60306132286804,97.0,1709853071.7976305,412.25,0.0,22.4
241,-111.0,0.03533625602722168,-78.53123992146332,90.0,1709853071.8329668,382.5,0.0,-19.599999999999998
242,-114.0,0.029415369033813477,-96.888126636245,98.0,1709853071.8623822,416.5,0.0,22.4
243,-118.0,0.032854318618774414,-89.79032663043084,89.0,1709853071.8952365,378.25,0.0,-25.2
244,-118.0,0.03708791732788086,-79.5407295028221,98.0,1709853071.9323244,416.5,0.0,25.2
245,-114.0,0.0360262393951416,-79.10900632010853,90.0,1709853071.9683506,382.5,0.0,-22.4
246,-112.0,0.03179574012756348,-88.06211111194428,97.0,1709853072.0001464,412.25,0.0,19.599999999999998
247,-113.0,0.04509377479553223,-62.647228199664795,90.0,1709853072.0452402,382.5,0.0,-19.599999999999998
248,-112.0,0.03277087211608887,-85.44172978006708,97.0,1709853072.078011,412.25,0.0,19.599999999999998
249,-113.0,0.033545732498168945,-84.21339436109196,90.0,1709853072.1115568,382.5,0.0,-19.599999999999998
250,-116.0,0.030704498291015625,-94.44870170207479,97.0,1709853072.1422613,412.25,0.0,19.599999999999998
251,-116.0,0.035745859146118164,-81.12827805161109,90.0,1709853072.1780071,382.5,0.0,-19.599999999999998
252,-112.0,0.041751861572265625,-67.06287802649612,89.0,1709853072.219759,378.25,0.0,-2.8
253,-113.0,0.03346705436706543,-84.41137271943636,90.0,1709853072.253226,382.5,0.0,2.8
254,-115.0,0.028644323348999023,-100.36892702862423,90.0,1709853072.2818704,382.5,0.0,0.0
255,-112.0,0.048090457916259766,-58.22360861848433,89.0,1709853072.3299608,378.25,0.0,-2.8
256,-111.0,0.025444984436035156,-109.05882088377497,97.0,1709853072.3554058,412.25,0.0,22.4
257,-112.0,0.03795671463012695,-73.7682390924737,90.0,1709853072.3933625,382.5,0.0,-19.599999999999998
258,-111.0,0.035616397857666016,-77.91355013187314,90.0,1709853072.428979,382.5,0.0,0.0
259,-112.0,0.03472185134887695,-80.64086133732508,91.0,1709853072.4637008,386.75,0.0,2.8
260,-111.0,0.03439450263977051,-80.68149811799447,90.0,1709853072.4980953,382.5,0.0,-2.8
261,-110.0,0.03207826614379883,-85.72782542773476,89.0,1709853072.5301735,378.25,0.0,-2.8
262,-110.0,0.039545536041259766,-69.54008657591068,89.0,1709853072.569719,378.25,0.0,0.0
263,-109.0,0.03732132911682129,-73.01454863706344,90.0,1709853072.6070404,382.5,0.0,2.8
264,-110.0,0.032506465911865234,-84.5985536371771,90.0,1709853072.6395469,382.5,0.0,0.0
265,-109.0,0.030745267868041992,-88.63152572602846,89.0,1709853072.6702921,378.25,0.0,-2.8
266,-110.0,0.037926435470581055,-72.50879145057363,90.0,1709853072.7082186,382.5,0.0,2.8
267,-110.0,0.028816699981689453,-95.43077457680407,89.0,1709853072.7370353,378.25,0.0,-2.8
268,-111.0,0.04370927810668945,-63.48766486663394,90.0,1709853072.7807446,382.5,0.0,2.8
269,-110.0,0.030927419662475586,-88.91786091474648,98.0,1709853072.811672,416.5,0.0,22.4
270,-110.0,0.02828383445739746,-97.22868390218409,91.0,1709853072.8399558,386.75,0.0,-19.599999999999998
271,-108.0,0.03905296325683594,-69.13687912087912,90.0,1709853072.8790088,382.5,0.0,-2.8
272,-108.0,0.034990549087524414,-77.16369335177602,90.0,1709853072.9139993,382.5,0.0,0.0
273,-107.0,0.0372004508972168,-71.907730564635,97.0,1709853072.9511998,412.25,0.0,19.599999999999998
274,-107.0,0.03262901306152344,-81.98225287893844,90.0,1709853072.9838288,382.5,0.0,-19.599999999999998
275,-108.0,0.03113269805908203,-86.72553836728443,91.0,1709853073.0149615,386.75,0.0,2.8
276,-108.0,0.03920412063598633,-68.87031149275697,90.0,1709853073.0541656,382.5,0.0,-2.8
277,-108.0,0.02852916717529297,-94.63998662878154,98.0,1709853073.0826948,416.5,0.0,22.4
278,-109.0,0.04179239273071289,-65.20325403616863,97.0,1709853073.1244872,412.25,0.0,-2.8
279,-110.0,0.02995753288269043,-91.7966112486172,99.0,1709853073.1544447,420.75,0.0,5.6
280,-110.0,0.03548073768615723,-77.50684397615863,91.0,1709853073.1899254,386.75,0.0,-22.4
281,-109.0,0.04184913635253906,-65.11484435531654,98.0,1709853073.2317746,416.5,0.0,19.599999999999998
282,-109.0,0.03795003890991211,-71.80493296643924,98.0,1709853073.2697246,416.5,0.0,0.0
283,-109.0,0.028847217559814453,-94.46318329834537,98.0,1709853073.2985718,416.5,0.0,0.0
284,-108.0,0.03304743766784668,-81.70073659377682,98.0,1709853073.3316193,416.5,0.0,0.0
285,-109.0,0.037595272064208984,-72.48251842268813,99.0,1709853073.3692145,420.75,0.0,2.8
286,-109.0,0.03277277946472168,-83.1482725758226,99.0,1709853073.4019873,420.75,0.0,0.0
287,-109.0,0.03485226631164551,-78.18716796300477,97.0,1709853073.4368396,412.25,0.0,-5.6
288,-110.0,0.03342175483703613,-82.28173575591556,98.0,1709853073.4702613,416.5,0.0,2.8
